price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,direction,street_in_front_of_house,width,city,district
4.45,64.0,4.0,4.0,True,True,True,True,Nhà mặt tiền,None,7.0,4.0,Hồ Chí Minh,Nội thành
5.6,64.0,4.0,4.0,True,True,True,True,Nhà mặt tiền,None,12.0,4.5,Hồ Chí Minh,Ngoại thành
1.5,31.0,3.0,3.0,False,False,False,False,Nhà mặt tiền,Đông Nam,3.0,4.0,Hà Nội,Ngoại thành
1.12,30.0,3.0,3.0,False,False,False,False,Nhà trong hẻm,Đông Nam,3.0,4.0,Hà Nội,Ngoại thành
10.28,68.0,4.0,5.0,False,False,False,False,Nhà trong hẻm,None,8.0,4.447257932086094,Hồ Chí Minh,Nội thành
1.69,44.0,3.0,2.0,False,False,False,False,Nhà trong hẻm,Tây Bắc,2.5,3.0,Hà Nội,Ngoại thành
5.0,45.0,5.0,5.0,True,True,True,False,Nhà mặt tiền,None,3.0,4.5,Hà Nội,Nội thành
2.5,35.0,5.0,3.0,True,True,True,False,Nhà trong hẻm,None,3.0,4.447257932086094,Hà Nội,Ngoại thành
4.8,60.0,4.0,4.0,True,True,True,True,Nhà mặt tiền,Nam,12.0,4.0,Hồ Chí Minh,Ngoại thành
3.95,95.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,8.0,5.0,Hồ Chí Minh,Nội thành
4.8,60.0,3.0,4.0,True,True,True,True,Nhà trong hẻm,None,8.0,4.0,Hồ Chí Minh,Ngoại thành
1.88,35.0,3.0,3.0,True,True,True,True,Nhà trong hẻm,Nam,5.0,5.0,Hồ Chí Minh,Ngoại thành
11.9,68.0,5.0,5.0,True,True,True,True,Nhà trong hẻm,None,8.0,5.0,Hà Nội,Nội thành
13.8,75.0,5.0,4.0,True,True,True,True,Nhà trong hẻm,None,10.0,5.0,Hà Nội,Nội thành
11.0,90.0,6.0,4.0,False,False,False,False,Nhà mặt tiền,None,7.0,6.0,Hà Nội,Nội thành
13.5,125.0,4.0,5.0,True,True,True,True,Nhà mặt tiền,None,5.0,7.0,Hà Nội,Nội thành
9.8,30.0,2.0,2.0,False,False,False,False,Nhà mặt tiền,None,12.0,4.2,Hà Nội,Nội thành
14.9,66.0,3.0,4.0,True,True,False,True,Nhà mặt tiền,None,12.0,4.7,Hồ Chí Minh,Nội thành
10.9,80.0,3.0,5.0,True,True,True,True,Nhà trong hẻm,None,8.0,4.0,Hồ Chí Minh,Nội thành
7.6,81.0,5.0,4.0,True,True,True,True,Nhà mặt tiền,None,3.0,4.447257932086094,Hà Nội,Ngoại thành
4.0,36.0,5.0,7.0,True,True,True,True,Nhà trong hẻm,Đông Nam,3.0,3.6,Hà Nội,Nội thành
6.05,44.0,4.0,3.0,True,True,True,False,Nhà trong hẻm,None,3.0,4.0,Hồ Chí Minh,Nội thành
5.6,48.0,4.0,4.0,True,True,True,False,Nhà trong hẻm,Tây Nam,3.0,3.3,Hà Nội,Nội thành
13.0,60.0,4.0,8.0,True,True,True,True,Nhà trong hẻm,None,8.0,4.2,Hồ Chí Minh,Nội thành
2.85,54.0,1.0,2.0,False,False,False,False,Nhà trong hẻm,Nam,5.0,4.5,Hồ Chí Minh,Ngoại thành
5.0,50.0,5.0,4.0,False,False,False,False,Nhà mặt tiền,None,5.0,5.0,Hà Nội,Nội thành
11.9,100.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,12.0,4.0,Hồ Chí Minh,Nội thành
12.8,100.0,2.0,3.0,True,True,True,True,Nhà mặt tiền,None,14.0,4.5,Hồ Chí Minh,Nội thành
9.0,45.0,7.0,5.0,True,True,True,True,Nhà trong hẻm,None,4.0,5.0,Hà Nội,Nội thành
6.0,40.0,4.0,4.0,False,False,False,False,Nhà mặt tiền,None,10.0,7.0,Hà Nội,Nội thành
3.85,55.0,4.0,4.0,False,False,False,False,Nhà trong hẻm,Tây Bắc,2.5,6.0,Hà Nội,Ngoại thành
6.1,45.0,5.0,6.0,True,True,True,True,Nhà trong hẻm,None,3.0,4.447257932086094,Hà Nội,Nội thành
8.5,55.0,5.0,6.0,True,True,True,True,Nhà trong hẻm,None,10.0,4.0,Hà Nội,Nội thành
5.85,92.0,2.0,4.0,False,False,False,False,Nhà trong hẻm,None,6.0,4.5,Hồ Chí Minh,Nội thành
3.95,33.0,2.0,2.0,True,True,True,False,Nhà mặt tiền,None,3.5,3.3,Hồ Chí Minh,Nội thành
5.0,40.0,5.0,5.0,False,False,False,False,Nhà mặt tiền,None,6.0,4.447257932086094,Hà Nội,Nội thành
6.0,76.0,5.0,5.0,True,True,True,False,Nhà mặt tiền,None,3.0,5.0,Hà Nội,Nội thành
5.4,46.0,2.0,2.0,True,True,True,False,Nhà trong hẻm,None,3.0,4.6,Hồ Chí Minh,Nội thành
3.3,35.0,5.0,3.0,True,True,True,False,Nhà trong hẻm,None,3.0,4.447257932086094,Hà Nội,Nội thành
5.8,55.0,4.0,5.0,True,True,True,False,Nhà trong hẻm,None,3.0,4.447257932086094,Hà Nội,Nội thành
1.59,67.0,1.0,2.0,True,True,False,True,Nhà mặt tiền,None,8.0,4.8,Hồ Chí Minh,Ngoại thành
13.5,72.0,3.0,5.0,True,True,True,True,Nhà trong hẻm,None,6.0,4.0,Hồ Chí Minh,Nội thành
5.65,30.0,2.0,3.0,True,True,True,True,Nhà trong hẻm,None,4.5,4.5,Hồ Chí Minh,Nội thành
3.4,35.0,5.0,3.0,False,False,False,False,Nhà trong hẻm,None,3.0,4.447257932086094,Hà Nội,Nội thành
2.59,60.0,2.0,4.0,True,True,True,True,Nhà trong hẻm,None,5.0,4.447257932086094,Hồ Chí Minh,Ngoại thành
2.3,35.0,4.0,5.0,False,False,False,False,Nhà mặt tiền,Đông Bắc,3.0,3.8,Hà Nội,Ngoại thành
5.45,55.0,2.0,3.0,True,True,False,False,Nhà trong hẻm,None,3.0,3.7,Hồ Chí Minh,Nội thành
6.8,40.0,5.0,4.0,True,True,True,True,Nhà trong hẻm,None,6.0,4.447257932086094,Hà Nội,Nội thành
5.0,88.0,4.0,4.0,False,False,False,False,Nhà mặt tiền,None,5.247227428067467,4.447257932086094,Hồ Chí Minh,Ngoại thành
6.05,45.0,3.0,4.0,True,True,True,False,Nhà trong hẻm,None,6.0,4.0,Hồ Chí Minh,Nội thành
15.0,65.0,7.0,7.0,True,True,True,True,Nhà mặt tiền,None,10.0,5.0,Hà Nội,Nội thành
3.75,80.0,3.0,4.0,False,False,False,False,Nhà mặt tiền,None,6.0,5.0,Hồ Chí Minh,Nội thành
